b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 001\n'
b'  Variables        : 5320 (1200 binary, 0 integer, 0 implicit integer, 4120 continuous)\n'
b'  Constraints      : 13850\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1489 (446 binary, 0 integer, 0 implicit integer, 1043 continuous)\n'
b'  Constraints      : 1661\n'
b'Constraints        : Number\n'
b'  knapsack         : 10 \n'
b'  setppc           : 124 \n'
b'  linear           : 1522 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'      305         542504      137142         8           1.2427           0.0000         -           0.0318         -\n'
b'      310         552471      139450         8           1.2427           0.0000         -           0.0318         -\n'
b'      315         563500      141736         8           1.2427           0.0000         -           0.0318         -\n'
b'      320         573508      143935         8           1.2427           0.0000         -           0.0318         -\n'
b'      325         583852      146030         8           1.2427           0.0000         -           0.0318         -\n'
b'      330         595479      148469         8           1.2427           0.0000         -           0.0318         -\n'
b'      335         606209      150850         8           1.2427           0.0000         -           0.0318         -\n'
b'      340         616189      153306         8           1.2427           0.0000         -           0.0318         -\n'
b'      345         627686      155525         8           1.2427           0.0000         -           0.0318         -\n'
b'      350         639162      157577         8           1.2427           0.0000         -           0.0318         -\n'
b'      356         650876      159880         8           1.2427           0.0000         -           0.0318         -\n'
b'      361         661366      161885         8           1.2427           0.0000         -           0.0318         -\n'
b'      366         672304      163967         8           1.2427           0.0000         -           0.0318         -\n'
b'      371         683284      166242         8           1.2427           0.0000         -           0.0318         -\n'
b'      376         693388      168211         8           1.2427           0.0000         -           0.0318         -\n'
b'      381         704129      170303         8           1.2427           0.0000         -           0.0318         -\n'
b'      386         714210      172423         8           1.2427           0.0000         -           0.0318         -\n'
b'      391         725026      174690         8           1.2427           0.0000         -           0.0318         -\n'
b'      396         736373      176832         8           1.2427           0.0000         -           0.0318         -\n'
b'*     397         738268      177247         8           1.2052           0.0000         -           0.0318         -\n'
b'      401         747219      178848         8           1.2052           0.0000         -           0.0318         -\n'
b'      406         757506      180933         8           1.2052           0.0000         -           0.0318         -\n'
b'      411         769480      182947         8           1.2052           0.0000         -           0.0318         -\n'
b'      416         781325      185013         8           1.2052           0.0000         -           0.0318         -\n'
b'      422         791851      187204         8           1.2052           0.0000         -           0.0318         -\n'
b'      427         802695      189459         8           1.2052           0.0000         -           0.0318         -\n'
b'      432         813204      191551         8           1.2052           0.0000         -           0.0318         -\n'
b'      437         823511      193630         8           1.2052           0.0000         -           0.0318         -\n'
b'      442         833523      195641         8           1.2052           0.0000         -           0.0318         -\n'
b'      447         843879      197691         8           1.2052           0.0000         -           0.0318         -\n'
b'      452         854038      199672         8           1.2052           0.0000         -           0.0318         -\n'
b'      457         864633      201692         8           1.2052           0.0000         -           0.0318         -\n'
b'      462         875946      203538         8           1.2052           0.0000         -           0.0321         -\n'
b'      467         887812      205461         8           1.2052           0.0000         -           0.0321         -\n'
b'      472         898782      207355         8           1.2052           0.0000         -           0.0321         -\n'
b'      477         910729      209278         8           1.2052           0.0000         -           0.0322         -\n'
b'      482         921897      211190         8           1.2052           0.0000         -           0.0322         -\n'
b'      488         931943      212999         8           1.2052           0.0000         -           0.0329         -\n'
b'      493         942489      215099         8           1.2052           0.0000         -           0.0339         -\n'
b'      498         953771      217188         8           1.2052           0.0000         -           0.0339         -\n'
b'      503         965056      219021         8           1.2052           0.0000         -           0.0352         -\n'
b'      508         975728      221083         8           1.2052           0.0000         -           0.0354         -\n'
b'      513         986259      222865         8           1.2052           0.0000         -           0.0356         -\n'
b'      518         997472      225022         8           1.2052           0.0000         -           0.0356         -\n'
b'      523        1008355      226943         8           1.2052           0.0000         -           0.0356         -\n'
b'      528        1019617      228722         8           1.2052           0.0000         -           0.0362         -\n'
b'      533        1031223      230757         8           1.2052           0.0000         -           0.0362         -\n'
b'      538        1043957      232893         8           1.2052           0.0000         -           0.0372         -\n'
b'      543        1056052      234936         8           1.2052           0.0000         -           0.0375         -\n'
b'      549        1066206      236729         8           1.2052           0.0000         -           0.0395         -\n'
b'      554        1076745      238403         8           1.2052           0.0000         -           0.0404         -\n'
b'      559        1088109      240134         8           1.2052           0.0000         -           0.0406         -\n'
b'      564        1098997      241780         8           1.2052           0.0000         -           0.0409         -\n'
b'      569        1109838      243410         8           1.2052           0.0000         -           0.0418         -\n'
b'      574        1121244      245277         8           1.2052           0.0000         -           0.0419         -\n'
b'      579        1131504      247124         8           1.2052           0.0000         -           0.0429         -\n'
b'      584        1142355      248809         8           1.2052           0.0000         -           0.0430         -\n'
b'      589        1153976      250728         8           1.2052           0.0000         -           0.0436         -\n'
b'      594        1165826      252683         8           1.2052           0.0000         -           0.0438         -\n'
b'      599        1177217      254569         8           1.2052           0.0000         -           0.0439         -\n'
b'      604        1188155      256397         8           1.2052           0.0000         -           0.0444         -\n'
b'      609        1199599      258314         8           1.2052           0.0000         -           0.0459         -\n'
b'      614        1210442      260309         8           1.2052           0.0000         -           0.0460         -\n'
b'      620        1222347      262663         8           1.2052           0.0000         -           0.0460         -\n'
b'      625        1233126      264624         8           1.2052           0.0000         -           0.0460         -\n'
b'      630        1243424      266388         8           1.2052           0.0000         -           0.0460         -\n'
b'      635        1254594      268217         8           1.2052           0.0000         -           0.0460         -\n'
b'      640        1265178      269951         8           1.2052           0.0000         -           0.0464         -\n'
b'      645        1276062      271718         8           1.2052           0.0000         -           0.0470         -\n'
b'      650        1287444      273572         8           1.2052           0.0000         -           0.0475         -\n'
b'      655        1298125      275226         8           1.2052           0.0000         -           0.0479         -\n'
b'      660        1309733      276969         8           1.2052           0.0000         -           0.0481         -\n'
b'      665        1321755      278960         8           1.2052           0.0000         -           0.0481         -\n'
b'      671        1332966      280837         8           1.2052           0.0000         -           0.0485         -\n'
b'      676        1344668      282638         8           1.2052           0.0000         -           0.0485         -\n'
b'      681        1355318      284407         8           1.2052           0.0000         -           0.0487         -\n'
b'      686        1366840      286117         8           1.2052           0.0000         -           0.0487         -\n'
b'      691        1377853      288202         8           1.2052           0.0000         -           0.0491         -\n'
b'      696        1388202      290217         8           1.2052           0.0000         -           0.0496         -\n'
b'      701        1399068      291907         8           1.2052           0.0000         -           0.0499         -\n'
b'      706        1410351      293761         8           1.2052           0.0000         -           0.0500         -\n'
b'      711        1420802      295441         8           1.2052           0.0000         -           0.0508         -\n'
b'      716        1432367      297239         8           1.2052           0.0000         -           0.0512         -\n'
b'      721        1443658      299102         8           1.2052           0.0000         -           0.0514         -\n'
b'      726        1455365      300953         8           1.2052           0.0000         -           0.0514         -\n'
b'      731        1466285      302682         8           1.2052           0.0000         -           0.0515         -\n'
b'      736        1478142      304467         8           1.2052           0.0000         -           0.0520         -\n'
b'      741        1489101      306093         8           1.2052           0.0000         -           0.0520         -\n'
b'      746        1500800      307645         8           1.2052           0.0000         -           0.0523         -\n'
b'      752        1512142      309267         8           1.2052           0.0000         -           0.0523         -\n'
b'      757        1523281      310964         8           1.2052           0.0000         -           0.0523         -\n'
b'      762        1535045      312972         8           1.2052           0.0000         -           0.0523         -\n'
b'      767        1546838      314755         8           1.2052           0.0000         -           0.0523         -\n'
b'      772        1558505      316664         8           1.2052           0.0000         -           0.0523         -\n'
b'      777        1571050      318602         8           1.2052           0.0000         -           0.0523         -\n'
b'      782        1582286      320423         8           1.2052           0.0000         -           0.0523         -\n'
b'      787        1593801      322341         8           1.2052           0.0000         -           0.0524         -\n'
b'      792        1604453      324079         8           1.2052           0.0000         -           0.0524         -\n'
b'      797        1616297      325993         8           1.2052           0.0000         -           0.0525         -\n'
b'      802        1628309      327904         8           1.2052           0.0000         -           0.0525         -\n'
b'      807        1640177      329763         8           1.2052           0.0000         -           0.0526         -\n'
b'      812        1652177      331774         8           1.2052           0.0000         -           0.0527         -\n'
b'      818        1665072      333685         8           1.2052           0.0000         -           0.0531         -\n'
b'      823        1676351      335540         8           1.2052           0.0000         -           0.0531         -\n'
b'      828        1687219      337474         8           1.2052           0.0000         -           0.0533         -\n'
b'      833        1697869      339232         8           1.2052           0.0000         -           0.0537         -\n'
b'      838        1708473      341041         8           1.2052           0.0000         -           0.0548         -\n'
b'      843        1721079      343055         8           1.2052           0.0000         -           0.0551         -\n'
b'      848        1731924      343967         8           1.2052           0.0000         -           0.0551         -\n'
b'      853        1742932      345738         8           1.2052           0.0000         -           0.0551         -\n'
b'      858        1753081      347235         8           1.2052           0.0000         -           0.0555         -\n'
b'      863        1762768      348788         8           1.2052           0.0000         -           0.0555         -\n'
b'      868        1772805      350495         8           1.2052           0.0000         -           0.0556         -\n'
b'      873        1784060      352278         8           1.2052           0.0000         -           0.0562         -\n'
b'      878        1795061      353843         8           1.2052           0.0000         -           0.0562         -\n'
b'      883        1806785      355552         8           1.2052           0.0000         -           0.0562         -\n'
b'      888        1818432      357144         8           1.2052           0.0000         -           0.0562         -\n'
b'      893        1828764      357405         8           1.2052           0.0000         -           0.0562         -\n'
b'      898        1840095      359011         8           1.2052           0.0000         -           0.0563         -\n'
b'      904        1850428      360506         8           1.2052           0.0000         -           0.0567         -\n'
b'      909        1860946      362147         8           1.2052           0.0000         -           0.0567         -\n'
b'      914        1872011      363757         8           1.2052           0.0000         -           0.0571         -\n'
b'      919        1882964      365413         8           1.2052           0.0000         -           0.0578         -\n'
b'      924        1893454      366888         8           1.2052           0.0000         -           0.0580         -\n'
b'      929        1903939      368491         8           1.2052           0.0000         -           0.0580         -\n'
b'      934        1914065      370167         8           1.2052           0.0000         -           0.0582         -\n'
b'      939        1924118      371593         8           1.2052           0.0000         -           0.0595         -\n'
b'      944        1934359      373249         8           1.2052           0.0000         -           0.0606         -\n'
b'      949        1945364      375122         8           1.2052           0.0000         -           0.0606         -\n'
b'      954        1956736      376798         8           1.2052           0.0000         -           0.0650         -\n'
b'      959        1967243      378539         8           1.2052           0.0000         -           0.0657         -\n'
b'      964        1976973      380129         8           1.2052           0.0000         -           0.0660         -\n'
b'      969        1987704      381806         8           1.2052           0.0000         -           0.0660         -\n'
b'      975        1999201      383526         8           1.2052           0.0000         -           0.0663         -\n'
b'      980        2010742      384482         8           1.2052           0.0000         -           0.0663         -\n'
b'      985        2021687      386420         8           1.2052           0.0000         -           0.0663         -\n'
b'      990        2033161      388216         8           1.2052           0.0000         -           0.0663         -\n'
b'      995        2043258      389862         8           1.2052           0.0000         -           0.0663         -\n'
b'     1000        2053783      391536         8           1.2052           0.0000         -           0.0663         -\n'
b'     1005        2064548      393127         8           1.2052           0.0000         -           0.0663         -\n'
b'     1010        2075118      394806         8           1.2052           0.0000         -           0.0663         -\n'
b'     1015        2085805      394183         8           1.2052           0.0000         -           0.0663         -\n'
b'     1020        2097599      395716         8           1.2052           0.0000         -           0.0663         -\n'
b'     1025        2109220      397306         8           1.2052           0.0000         -           0.0663         -\n'
b'     1030        2120074      398743         8           1.2052           0.0000         -           0.0663         -\n'
b'     1035        2131057      400197         8           1.2052           0.0000         -           0.0663         -\n'
b'     1040        2142204      401640         8           1.2052           0.0000         -           0.0669         -\n'
b'     1045        2152993      403089         8           1.2052           0.0000         -           0.0669         -\n'
b'     1050        2164500      404477         8           1.2052           0.0000         -           0.0678         -\n'
b'     1056        2175587      405550         8           1.2052           0.0000         -           0.0678         -\n'
b'     1061        2187501      406981         8           1.2052           0.0000         -           0.0687         -\n'
b'     1066        2198926      408397         8           1.2052           0.0000         -           0.0698         -\n'
b'     1071        2210411      409945         8           1.2052           0.0000         -           0.0702         -\n'
b'     1076        2221948      411486         8           1.2052           0.0000         -           0.0702         -\n'
b'     1081        2233142      413002         8           1.2052           0.0000         -           0.0711         -\n'
b'     1086        2245762      414545         8           1.2052           0.0000         -           0.0711         -\n'
b'     1091        2257896      416138         8           1.2052           0.0000         -           0.0712         -\n'
b'     1096        2268919      417631         8           1.2052           0.0000         -           0.0715         -\n'
b'     1101        2280226      418999         8           1.2052           0.0000         -           0.0722         -\n'
b'*    1102        2283652      419417         8           1.1837           0.0000         -           0.0727         -\n'
b'     1106        2291750      418396         8           1.1837           0.0000         -           0.0728         -\n'
