b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 005\n'
b'  Variables        : 5777 (1600 binary, 0 integer, 0 implicit integer, 4177 continuous)\n'
b'  Constraints      : 14347\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1706 (642 binary, 0 integer, 0 implicit integer, 1064 continuous)\n'
b'  Constraints      : 1920\n'
b'Constraints        : Number\n'
b'  knapsack         : 8 \n'
b'  setppc           : 174 \n'
b'  linear           : 1733 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       2              0           1         8           2.7913                -         -\n'
b'*       2              2           1         8           2.7355           0.0000         -\n'
b'*       2              2           1         8           2.6410           0.0000         -\n'
b'*       2              2           1         8           2.5882           0.0000         -\n'
b'*       2              2           1         8           2.3165           0.0000         -\n'
b'        5              2           1         8           2.3165           0.0000         -\n'
b'Racing ramp-up finished after 9.1500 seconds. Selected strategy 3.\n'
b'       11            979         488         8           2.3165           0.0000         -           0.0000         -\n'
b'       16           2668        2145         8           2.3165           0.0000         -           0.0000         -\n'
b'       22           5136        4595         8           2.3165           0.0000         -           0.0000         -\n'
b'       27           7491        6892         8           2.3165           0.0000         -           0.0000         -\n'
b'       32           9991        9322         8           2.3165           0.0000         -           0.0000         -\n'
b'       37          12565       11820         8           2.3165           0.0000         -           0.0000         -\n'
b'       42          15299       14270         8           2.3165           0.0000         -           0.0000         -\n'
b'       47          17953       16802         8           2.3165           0.0000         -           0.0000         -\n'
b'       52          20889       19207         8           2.3165           0.0000         -           0.0000         -\n'
b'       57          23951       21520         8           2.3165           0.0000         -           0.0000         -\n'
b'       62          27022       23901         8           2.3165           0.0000         -           0.0000         -\n'
b'       67          29907       26131         8           2.3165           0.0000         -           0.0000         -\n'
b'       72          32851       28378         8           2.3165           0.0000         -           0.0000         -\n'
b'       77          35747       30520         8           2.3165           0.0000         -           0.0000         -\n'
b'       83          38797       32681         8           2.3165           0.0000         -           0.0000         -\n'
b'       88          41708       34837         8           2.3165           0.0000         -           0.0000         -\n'
b'       93          44762       36961         8           2.3165           0.0000         -           0.0000         -\n'
b'       98          48271       39381         8           2.3165           0.0000         -           0.0000         -\n'
b'      103          51667       41605         8           2.3165           0.0000         -           0.0000         -\n'
b'      108          55315       43861         8           2.3165           0.0000         -           0.0000         -\n'
