b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 028\n'
b'  Variables        : 5320 (1200 binary, 0 integer, 0 implicit integer, 4120 continuous)\n'
b'  Constraints      : 13854\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1485 (442 binary, 0 integer, 0 implicit integer, 1043 continuous)\n'
b'  Constraints      : 1653\n'
b'Constraints        : Number\n'
b'  knapsack         : 8 \n'
b'  setppc           : 116 \n'
b'  linear           : 1522 \n'
b'  logicor          : 7 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       2              2           1         8           3.4538           0.0000         -\n'
b'*       2              2           1         8           2.7696           0.0000         -\n'
b'*       4            101          90         8           1.7751           0.0000         -\n'
b'*       4            197         176         8           1.7464           0.0000         -\n'
b'*       4            197         176         8           1.3540           0.0000         -\n'
b'        5              2           1         8           1.3540           0.0000         -\n'
b'Racing ramp-up finished after 7.6900 seconds. Selected strategy 3.\n'
b'       10           1035         403         8           1.3540           0.0000         -           0.0000         -\n'
b'       16           5105        3301         8           1.3540           0.0000         -           0.0161         -\n'
b'       21          10413        5849         8           1.3540           0.0000         -           0.0239         -\n'
b'       26          15508        8084         8           1.3540           0.0000         -           0.0258         -\n'
b'       31          21729       10488         8           1.3540           0.0000         -           0.0267         -\n'
b'       36          28303       12991         8           1.3540           0.0000         -           0.0288         -\n'
b'       41          35173       15293         8           1.3540           0.0000         -           0.0298         -\n'
b'       46          43019       17758         8           1.3540           0.0000         -           0.0320         -\n'
b'       51          50486       19847         8           1.3540           0.0000         -           0.0334         -\n'
b'       56          57716       21724         8           1.3540           0.0000         -           0.0338         -\n'
b'       61          64757       23668         8           1.3540           0.0000         -           0.0338         -\n'
b'       67          72620       25658         8           1.3540           0.0000         -           0.0338         -\n'
b'*      69          77204       26799         8           1.3172           0.0000         -           0.0338         -\n'
b'       72          80982       27616         8           1.3172           0.0000         -           0.0338         -\n'
b'       77          89219       29785         8           1.3172           0.0000         -           0.0338         -\n'
b'       82          97846       32105         8           1.3172           0.0000         -           0.0338         -\n'
b'*      84         101052       32873         8           1.2115           0.0000         -           0.0338         -\n'
b'       87         106717       33962         8           1.2115           0.0000         -           0.0338         -\n'
b'       92         115429       35997         8           1.2115           0.0000         -           0.0338         -\n'
b'       97         123959       37858         8           1.2115           0.0000         -           0.0357         -\n'
b'      102         132616       39799         8           1.2115           0.0000         -           0.0364         -\n'
b'      107         141209       41729         8           1.2115           0.0000         -           0.0364         -\n'
b'      112         149578       43573         8           1.2115           0.0000         -           0.0364         -\n'
b'      117         157370       45396         8           1.2115           0.0000         -           0.0365         -\n'
b'      123         166465       47386         8           1.2115           0.0000         -           0.0366         -\n'
b'      128         174813       49350         8           1.2115           0.0000         -           0.0370         -\n'
b'      133         183918       51287         8           1.2115           0.0000         -           0.0378         -\n'
b'      138         192427       53104         8           1.2115           0.0000         -           0.0381         -\n'
b'      143         201181       55012         8           1.2115           0.0000         -           0.0389         -\n'
b'      148         209673       56915         8           1.2115           0.0000         -           0.0393         -\n'
b'      153         218193       58726         8           1.2115           0.0000         -           0.0396         -\n'
b'      158         227342       60603         8           1.2115           0.0000         -           0.0397         -\n'
b'      163         236174       62288         8           1.2115           0.0000         -           0.0405         -\n'
b'      168         245670       64074         8           1.2115           0.0000         -           0.0410         -\n'
b'      173         255859       66077         8           1.2115           0.0000         -           0.0424         -\n'
b'      178         265911       68021         8           1.2115           0.0000         -           0.0446         -\n'
b'      184         275284       69748         8           1.2115           0.0000         -           0.0460         -\n'
b'*     184         276774       70045         8           1.1537           0.0000         -           0.0460         -\n'
b'      189         285088       71469         8           1.1537           0.0000         -           0.0474         -\n'
b'      194         294430       73327         8           1.1537           0.0000         -           0.0477         -\n'
b'      199         303848       75335         8           1.1537           0.0000         -           0.0477         -\n'
b'      204         312762       77180         8           1.1537           0.0000         -           0.0531         -\n'
b'      209         322181       79066         8           1.1537           0.0000         -           0.0533         -\n'
b'      214         331996       80824         8           1.1537           0.0000         -           0.0553         -\n'
b'      219         341551       82436         8           1.1537           0.0000         -           0.0571         -\n'
b'      224         351819       84278         8           1.1537           0.0000         -           0.0637         -\n'
b'*     228         358725       85561         8           1.0844           0.0000         -           0.0638         -\n'
b'      229         360976       85440         8           1.0844           0.0000         -           0.0638         -\n'
b'      235         371299       87245         8           1.0844           0.0000         -           0.0638         -\n'
b'      240         380100       88862         8           1.0844           0.0000         -           0.0638         -\n'
b'      245         389286       90595         8           1.0844           0.0000         -           0.0638         -\n'
b'      250         399009       92235         8           1.0844           0.0000         -           0.0641         -\n'
b'      255         408585       93815         8           1.0844           0.0000         -           0.0658         -\n'
b'      260         418729       95455         8           1.0844           0.0000         -           0.0678         -\n'
b'      265         428345       97015         8           1.0844           0.0000         -           0.0682         -\n'
b'      270         437078       98454         8           1.0844           0.0000         -           0.0683         -\n'
b'      275         446275       99972         8           1.0844           0.0000         -           0.0683         -\n'
b'      280         457152      101665         8           1.0844           0.0000         -           0.0683         -\n'
b'*     281         458862      100993         8           1.0191           0.0000         -           0.0683         -\n'
b'      285         468352      101807         8           1.0191           0.0000         -           0.0691         -\n'
b'      290         479624      103416         8           1.0191           0.0000         -           0.0695         -\n'
b'      296         490831      104755         8           1.0191           0.0000         -           0.0736         -\n'
b'      301         502361      105997         8           1.0191           0.0000         -           0.0742         -\n'
b'*     305         511734      106891         8           0.7620           0.0000         -           0.0758         -\n'
b'      306         513022      103856         8           0.7620           0.0000         -           0.0775         -\n'
b'      311         523282      104886         8           0.7620           0.0000         -           0.0824         -\n'
b'      316         534004      105880         8           0.7620           0.0000         -           0.0855         -\n'
b'*     320         542010      106613         8           0.7564           0.0000         -           0.0855         -\n'
b'      321         544336      106612         8           0.7564           0.0000         -           0.0857         -\n'
b'*     323         548514      106964         8           0.7535           0.0000         -           0.0870         -\n'
b'      326         554525      107361         8           0.7535           0.0000         -           0.0890         -\n'
b'      331         563846      108005         8           0.7535           0.0000         -           0.0897         -\n'
b'      336         573636      108900         8           0.7535           0.0000         -           0.0905         -\n'
b'      341         583554      109297         8           0.7535           0.0000         -           0.0925         -\n'
b'      347         593382      109960         8           0.7535           0.0000         -           0.0934         -\n'
b'      352         603925      110186         8           0.7535           0.0000         -           0.0934         -\n'
b'      357         614603      110802         8           0.7535           0.0000         -           0.0934         -\n'
b'      362         625291      110640         8           0.7535           0.0000         -           0.0966         -\n'
b'      367         635490      109252         8           0.7535           0.0000         -           0.0966         -\n'
b'      372         645115      106816         8           0.7535           0.0000         -           0.0966         -\n'
b'      377         654103      108344         8           0.7535           0.0000         -           0.0966         -\n'
b'      382         664317      109537         8           0.7535           0.0000         -           0.0978         -\n'
b'      387         674548      110906         8           0.7535           0.0000         -           0.0978         -\n'
b'      392         685010      112255         8           0.7535           0.0000         -           0.0979         -\n'
b'      397         695097      113318         8           0.7535           0.0000         -           0.0979         -\n'
b'      402         705481      114352         8           0.7535           0.0000         -           0.0990         -\n'
b'      407         715738      115491         8           0.7535           0.0000         -           0.0991         -\n'
b'      412         725818      116505         8           0.7535           0.0000         -           0.0992         -\n'
b'      418         736543      117747         8           0.7535           0.0000         -           0.0997         -\n'
b'      423         748074      118730         8           0.7535           0.0000         -           0.1000         -\n'
b'      428         759310      119376         8           0.7535           0.0000         -           0.1010         -\n'
b'      433         771061      120015         8           0.7535           0.0000         -           0.1014         -\n'
b'      438         782587      120141         8           0.7535           0.0000         -           0.1015         -\n'
b'      443         792277      121514         8           0.7535           0.0000         -           0.1019         -\n'
b'      448         803237      122907         8           0.7535           0.0000         -           0.1034         -\n'
b'      453         814030      124010         8           0.7535           0.0000         -           0.1047         -\n'
b'      458         824037      125327         8           0.7535           0.0000         -           0.1062         -\n'
b'      463         833865      126261         8           0.7535           0.0000         -           0.1086         -\n'
b'      468         844283      127276         8           0.7535           0.0000         -           0.1098         -\n'
b'      473         855308      128524         8           0.7535           0.0000         -           0.1098         -\n'
b'      478         865289      129795         8           0.7535           0.0000         -           0.1098         -\n'
b'      484         874345      130941         8           0.7535           0.0000         -           0.1099         -\n'
b'      489         885237      129886         8           0.7535           0.0000         -           0.1105         -\n'
b'      494         894940      130711         8           0.7535           0.0000         -           0.1112         -\n'
b'      499         905038      131189         8           0.7535           0.0000         -           0.1112         -\n'
b'      504         917558      132075         8           0.7535           0.0000         -           0.1130         -\n'
b'      509         928535      132838         8           0.7535           0.0000         -           0.1161         -\n'
b'      514         939215      133430         8           0.7535           0.0000         -           0.1161         -\n'
b'      519         950493      134199         8           0.7535           0.0000         -           0.1173         -\n'
b'      524         959663      134802         8           0.7535           0.0000         -           0.1180         -\n'
b'      529         969578      135435         8           0.7535           0.0000         -           0.1180         -\n'
b'      534         979906      136047         8           0.7535           0.0000         -           0.1182         -\n'
b'      539         990554      135998         8           0.7535           0.0000         -           0.1185         -\n'
b'      544        1001764      135916         8           0.7535           0.0000         -           0.1196         -\n'
b'      549        1012523      135326         8           0.7535           0.0000         -           0.1202         -\n'
b'      555        1023281      134195         8           0.7535           0.0000         -           0.1208         -\n'
b'      560        1034383      132609         8           0.7535           0.0000         -           0.1208         -\n'
b'      565        1046576      131967         8           0.7535           0.0000         -           0.1240         -\n'
b'      570        1058066      132061         8           0.7535           0.0000         -           0.1246         -\n'
b'      575        1072059      132979         8           0.7535           0.0000         -           0.0521         -\n'
b'      580        1085836      133893         8           0.7535           0.0000         -           0.1251         -\n'
b'      585        1099070      134663         8           0.7535           0.0000         -           0.1251         -\n'
