b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 017\n'
b'  Variables        : 5777 (1600 binary, 0 integer, 0 implicit integer, 4177 continuous)\n'
b'  Constraints      : 14339\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1714 (650 binary, 0 integer, 0 implicit integer, 1064 continuous)\n'
b'  Constraints      : 1945\n'
b'Constraints        : Number\n'
b'  knapsack         : 9 \n'
b'  setppc           : 198 \n'
b'  linear           : 1733 \n'
b'  logicor          : 5 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       2              2           1         8           2.8860           0.0000         -\n'
b'*       4             71          66         8           1.9886           0.0000         -\n'
b'*       4              2           1         8           1.9266           0.0000         -\n'
b'*       4              2           1         8           1.9109           0.0000         -\n'
b'*       5              2           1         8           1.8521           0.0000         -\n'
b'        5              2           1         8           1.8521           0.0000         -\n'
b'*       5              2           1         8           1.8051           0.0000         -\n'
b'*       6            236         231         8           1.6012           0.0000         -\n'
b'*       7             32          31         8           1.4359           0.0000         -\n'
b'Racing ramp-up finished after 7.6900 seconds. Selected strategy 7.\n'
b'       11            804         369         8           1.4359           0.0000         -           0.0000         -\n'
b'       16           2845        1747         8           1.4359           0.0000         -           0.0000         -\n'
b'       21           6861        4482         8           1.4359           0.0000         -           0.0000         -\n'
b'       26          12071        7032         8           1.4359           0.0000         -           0.0000         -\n'
b'       31          17702        9763         8           1.4359           0.0000         -           0.0000         -\n'
b'       36          24586       12456         8           1.4359           0.0000         -           0.0000         -\n'
b'       41          31403       15175         8           1.4359           0.0000         -           0.0000         -\n'
b'       46          38023       17522         8           1.4359           0.0000         -           0.0000         -\n'
b'       51          44154       19627         8           1.4359           0.0000         -           0.0000         -\n'
b'       56          50906       21881         8           1.4359           0.0000         -           0.0000         -\n'
b'       61          56944       23845         8           1.4359           0.0000         -           0.0000         -\n'
b'       67          63156       25866         8           1.4359           0.0000         -           0.0000         -\n'
b'       72          70229       28128         8           1.4359           0.0000         -           0.0000         -\n'
b'       77          77120       30085         8           1.4359           0.0000         -           0.0000         -\n'
b'       82          83152       31974         8           1.4359           0.0000         -           0.0000         -\n'
b'       87          88275       33530         8           1.4359           0.0000         -           0.0000         -\n'
b'       92          93893       35171         8           1.4359           0.0000         -           0.0000         -\n'
b'       97         100318       36910         8           1.4359           0.0000         -           0.0000         -\n'
b'      102         107471       38793         8           1.4359           0.0000         -           0.0000         -\n'
b'      107         114517       40736         8           1.4359           0.0000         -           0.0000         -\n'
b'      112         121864       42655         8           1.4359           0.0000         -           0.0000         -\n'
b'      118         128668       44526         8           1.4359           0.0000         -           0.0000         -\n'
b'      123         135533       46175         8           1.4359           0.0000         -           0.0000         -\n'
b'      128         142393       48018         8           1.4359           0.0000         -           0.0000         -\n'
b'      133         148986       49833         8           1.4359           0.0000         -           0.0000         -\n'
b'      138         155714       51603         8           1.4359           0.0000         -           0.0000         -\n'
b'      143         162350       53344         8           1.4359           0.0000         -           0.0000         -\n'
b'      148         169188       55151         8           1.4359           0.0000         -           0.0000         -\n'
b'      153         177138       57029         8           1.4359           0.0000         -           0.0000         -\n'
b'      158         184975       58709         8           1.4359           0.0000         -           0.0005         -\n'
b'      163         191899       60347         8           1.4359           0.0000         -           0.0005         -\n'
b'      169         199007       62114         8           1.4359           0.0000         -           0.0005         -\n'
b'      174         206161       63844         8           1.4359           0.0000         -           0.0005         -\n'
b'*     175         209104       64525         8           1.4134           0.0000         -           0.0005         -\n'
b'*     175         209104       64525         8           1.4031           0.0000         -           0.0005         -\n'
b'      179         213627       65684         8           1.4031           0.0000         -           0.0030         -\n'
b'      184         220966       67611         8           1.4031           0.0000         -           0.0052         -\n'
b'      189         228110       69408         8           1.4031           0.0000         -           0.0115         -\n'
b'      194         235180       71250         8           1.4031           0.0000         -           0.0120         -\n'
b'      199         242402       73070         8           1.4031           0.0000         -           0.0122         -\n'
b'      204         249913       74776         8           1.4031           0.0000         -           0.0130         -\n'
b'      209         257140       76517         8           1.4031           0.0000         -           0.0132         -\n'
b'      214         264495       78243         8           1.4031           0.0000         -           0.0139         -\n'
b'      219         271346       79633         8           1.4031           0.0000         -           0.0139         -\n'
b'      225         278242       81107         8           1.4031           0.0000         -           0.0148         -\n'
b'      230         285032       82528         8           1.4031           0.0000         -           0.0172         -\n'
b'      235         292038       83942         8           1.4031           0.0000         -           0.0177         -\n'
b'      240         300061       85716         8           1.4031           0.0000         -           0.0181         -\n'
b'      245         306952       87159         8           1.4031           0.0000         -           0.0197         -\n'
b'      250         314446       88798         8           1.4031           0.0000         -           0.0204         -\n'
b'      255         322614       90510         8           1.4031           0.0000         -           0.0209         -\n'
b'      260         331385       92255         8           1.4031           0.0000         -           0.0212         -\n'
b'      266         339756       93845         8           1.4031           0.0000         -           0.0214         -\n'
b'      271         348047       95396         8           1.4031           0.0000         -           0.0217         -\n'
b'      276         355122       96920         8           1.4031           0.0000         -           0.0218         -\n'
b'      281         363662       98515         8           1.4031           0.0000         -           0.0220         -\n'
b'      286         371528      100047         8           1.4031           0.0000         -           0.0220         -\n'
b'      291         380408      101899         8           1.4031           0.0000         -           0.0220         -\n'
b'      296         389229      103513         8           1.4031           0.0000         -           0.0222         -\n'
b'      301         397448      104927         8           1.4031           0.0000         -           0.0224         -\n'
b'      306         406123      106494         8           1.4031           0.0000         -           0.0227         -\n'
b'      311         415535      108205         8           1.4031           0.0000         -           0.0227         -\n'
b'      316         423472      109664         8           1.4031           0.0000         -           0.0228         -\n'
b'      321         430969      110982         8           1.4031           0.0000         -           0.0229         -\n'
b'      327         438929      112363         8           1.4031           0.0000         -           0.0232         -\n'
b'      332         447305      113602         8           1.4031           0.0000         -           0.0232         -\n'
b'      337         454643      115042         8           1.4031           0.0000         -           0.0232         -\n'
b'      342         461058      116210         8           1.4031           0.0000         -           0.0233         -\n'
b'      347         468216      117499         8           1.4031           0.0000         -           0.0236         -\n'
b'      352         474078      118533         8           1.4031           0.0000         -           0.0238         -\n'
b'      357         482321      120068         8           1.4031           0.0000         -           0.0240         -\n'
b'      362         490483      121573         8           1.4031           0.0000         -           0.0241         -\n'
b'      367         499296      123070         8           1.4031           0.0000         -           0.0242         -\n'
b'      372         507771      124619         8           1.4031           0.0000         -           0.0243         -\n'
b'      377         515419      125930         8           1.4031           0.0000         -           0.0246         -\n'
b'      382         524319      127334         8           1.4031           0.0000         -           0.0246         -\n'
b'      387         532763      128609         8           1.4031           0.0000         -           0.0247         -\n'
b'      393         541850      129925         8           1.4031           0.0000         -           0.0248         -\n'
b'      398         550403      131167         8           1.4031           0.0000         -           0.0249         -\n'
b'      403         558823      132673         8           1.4031           0.0000         -           0.0252         -\n'
b'      408         567533      134090         8           1.4031           0.0000         -           0.0256         -\n'
b'      413         576081      135546         8           1.4031           0.0000         -           0.0257         -\n'
b'      418         585332      137025         8           1.4031           0.0000         -           0.0260         -\n'
b'      423         594395      138386         8           1.4031           0.0000         -           0.0263         -\n'
b'      428         603316      139850         8           1.4031           0.0000         -           0.0265         -\n'
b'      433         612041      141417         8           1.4031           0.0000         -           0.0266         -\n'
b'      438         619907      142822         8           1.4031           0.0000         -           0.0267         -\n'
b'      443         627942      144285         8           1.4031           0.0000         -           0.0267         -\n'
b'      448         636247      145738         8           1.4031           0.0000         -           0.0270         -\n'
b'      453         644164      147309         8           1.4031           0.0000         -           0.0271         -\n'
b'      458         652310      148855         8           1.4031           0.0000         -           0.0272         -\n'
b'      463         660548      150345         8           1.4031           0.0000         -           0.0277         -\n'
b'      469         668766      151776         8           1.4031           0.0000         -           0.0277         -\n'
b'      474         676791      153213         8           1.4031           0.0000         -           0.0280         -\n'
b'      479         684993      154749         8           1.4031           0.0000         -           0.0285         -\n'
b'      484         693167      156196         8           1.4031           0.0000         -           0.0288         -\n'
b'      489         701714      157809         8           1.4031           0.0000         -           0.0290         -\n'
b'      494         709633      159318         8           1.4031           0.0000         -           0.0292         -\n'
b'      499         718280      160855         8           1.4031           0.0000         -           0.0301         -\n'
b'      504         726393      162361         8           1.4031           0.0000         -           0.0309         -\n'
b'      509         734998      163899         8           1.4031           0.0000         -           0.0313         -\n'
b'      514         743458      165413         8           1.4031           0.0000         -           0.0314         -\n'
b'      519         751355      166840         8           1.4031           0.0000         -           0.0317         -\n'
b'      524         759677      168224         8           1.4031           0.0000         -           0.0323         -\n'
b'      529         767993      169500         8           1.4031           0.0000         -           0.0331         -\n'
b'      535         775681      170803         8           1.4031           0.0000         -           0.0340         -\n'
b'      540         783809      172201         8           1.4031           0.0000         -           0.0345         -\n'
b'      545         792251      173652         8           1.4031           0.0000         -           0.0350         -\n'
b'      550         800040      174884         8           1.4031           0.0000         -           0.0356         -\n'
b'      555         808047      176178         8           1.4031           0.0000         -           0.0359         -\n'
b'      560         815689      177444         8           1.4031           0.0000         -           0.0374         -\n'
b'      565         823330      178651         8           1.4031           0.0000         -           0.0402         -\n'
b'      570         831115      179919         8           1.4031           0.0000         -           0.0413         -\n'
b'      575         839236      181161         8           1.4031           0.0000         -           0.0418         -\n'
b'      580         846850      182399         8           1.4031           0.0000         -           0.0421         -\n'
b'      585         854296      183638         8           1.4031           0.0000         -           0.0436         -\n'
b'      590         862225      184930         8           1.4031           0.0000         -           0.0441         -\n'
b'      596         869840      186140         8           1.4031           0.0000         -           0.0441         -\n'
b'      601         877821      187415         8           1.4031           0.0000         -           0.0441         -\n'
b'      606         885544      188630         8           1.4031           0.0000         -           0.0451         -\n'
b'      611         893540      189891         8           1.4031           0.0000         -           0.0462         -\n'
b'      616         901563      191162         8           1.4031           0.0000         -           0.0467         -\n'
b'      621         910098      192566         8           1.4031           0.0000         -           0.0493         -\n'
b'      626         918629      193849         8           1.4031           0.0000         -           0.0507         -\n'
b'      631         927598      195235         8           1.4031           0.0000         -           0.0517         -\n'
b'      636         936671      196765         8           1.4031           0.0000         -           0.0529         -\n'
b'      641         945427      198185         8           1.4031           0.0000         -           0.0535         -\n'
b'      646         954582      199609         8           1.4031           0.0000         -           0.0544         -\n'
b'      651         964476      201263         8           1.4031           0.0000         -           0.0557         -\n'
b'      656         973751      202879         8           1.4031           0.0000         -           0.0566         -\n'
b'      662         982653      204599         8           1.4031           0.0000         -           0.0582         -\n'
b'      667         991333      206089         8           1.4031           0.0000         -           0.0590         -\n'
b'      672         999899      207570         8           1.4031           0.0000         -           0.0594         -\n'
b'      677        1008983      209220         8           1.4031           0.0000         -           0.0623         -\n'
b'      682        1018099      210787         8           1.4031           0.0000         -           0.0649         -\n'
b'      687        1027307      212109         8           1.4031           0.0000         -           0.0661         -\n'
b'      692        1035485      213357         8           1.4031           0.0000         -           0.0682         -\n'
b'      697        1044467      214751         8           1.4031           0.0000         -           0.0699         -\n'
b'      702        1053192      216120         8           1.4031           0.0000         -           0.0709         -\n'
b'      707        1062070      217512         8           1.4031           0.0000         -           0.0733         -\n'
b'      712        1071307      218664         8           1.4031           0.0000         -           0.0736         -\n'
b'      717        1079989      219933         8           1.4031           0.0000         -           0.0747         -\n'
b'      722        1089050      221196         8           1.4031           0.0000         -           0.0751         -\n'
b'      727        1097383      222393         8           1.4031           0.0000         -           0.0764         -\n'
b'      733        1104859      223422         8           1.4031           0.0000         -           0.0780         -\n'
b'      738        1112852      224513         8           1.4031           0.0000         -           0.0791         -\n'
b'      743        1121035      225665         8           1.4031           0.0000         -           0.0811         -\n'
b'      748        1129322      226882         8           1.4031           0.0000         -           0.0811         -\n'
b'      753        1137468      228176         8           1.4031           0.0000         -           0.0811         -\n'
b'      758        1145863      229486         8           1.4031           0.0000         -           0.0811         -\n'
b'      763        1154163      230752         8           1.4031           0.0000         -           0.0811         -\n'
b'      768        1162588      231853         8           1.4031           0.0000         -           0.0811         -\n'
b'      773        1171373      233055         8           1.4031           0.0000         -           0.0811         -\n'
b'      778        1179712      234200         8           1.4031           0.0000         -           0.0811         -\n'
b'      783        1188030      235426         8           1.4031           0.0000         -           0.0811         -\n'
b'      788        1196829      236732         8           1.4031           0.0000         -           0.0811         -\n'
b'      793        1204938      237823         8           1.4031           0.0000         -           0.0811         -\n'
b'      798        1213407      238997         8           1.4031           0.0000         -           0.0811         -\n'
b'      803        1220905      239989         8           1.4031           0.0000         -           0.0811         -\n'
b'      808        1228524      240908         8           1.4031           0.0000         -           0.0811         -\n'
b'      813        1236019      241844         8           1.4031           0.0000         -           0.0811         -\n'
b'      819        1244068      242872         8           1.4031           0.0000         -           0.0811         -\n'
b'      824        1253256      243990         8           1.4031           0.0000         -           0.0811         -\n'
b'      829        1263313      245371         8           1.4031           0.0000         -           0.0811         -\n'
b'      834        1272518      246701         8           1.4031           0.0000         -           0.0811         -\n'
b'      839        1281909      248360         8           1.4031           0.0000         -           0.0811         -\n'
b'      844        1290621      249941         8           1.4031           0.0000         -           0.0811         -\n'
b'      849        1298819      251363         8           1.4031           0.0000         -           0.0811         -\n'
