b'The following solver is parallelized by UG version 0.9.1 [GitHash: ]\n'
b'SCIP version 7.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: SoPlex 5.0.2] [GitHash: e9d280a398]\n'
b'Copyright (C) 2002-2020 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)\n'
b'External codes: \n'
b'  Readline 7.0         GNU library for command line editing (gnu.org/s/readline)\n'
b'  SoPlex 5.0.2         Linear Programming Solver developed at Zuse Institute Berlin (soplex.zib.de) [GitHash: e24c304e]\n'
b'  CppAD 20180000.0     Algorithmic Differentiation of C++ algorithms developed by B. Bell (www.coin-or.org/CppAD)\n'
b'  ZLIB 1.2.11          General purpose compression library by J. Gailly and M. Adler (zlib.net)\n'
b'  GMP 6.1.2            GNU Multiple Precision Arithmetic Library developed by T. Granlund (gmplib.org)\n'
b'  ZIMPL 3.4.0          Zuse Institute Mathematical Programming Language developed by T. Koch (zimpl.zib.de)\n'
b'Default LC presolving (default).\n'
b'Original Problem   :\n'
b'  Problem name     : 020\n'
b'  Variables        : 5777 (1600 binary, 0 integer, 0 implicit integer, 4177 continuous)\n'
b'  Constraints      : 14347\n'
b'  Objective sense  : minimize\n'
b'Presolved Problem  :\n'
b'  Variables        : 1706 (642 binary, 0 integer, 0 implicit integer, 1064 continuous)\n'
b'  Constraints      : 1922\n'
b'Constraints        : Number\n'
b'  knapsack         : 8 \n'
b'  setppc           : 174 \n'
b'  linear           : 1733 \n'
b'  logicor          : 7 \n'
b'** Instance transfer method used: 0\n'
b'** ParaScipInstance copy does not increase the number of variables. **\n'
b'LC is working with racing ramp-up and with rebuilding tree after racing.\n'
b'                               Nodes    Active                                            \n'
b'     Time          Nodes        Left   Solvers     Best Integer        Best Node       Gap     Best Node(S)    Gap(S)\n'
b'*       2              2           1         8           1.9815           0.0000         -\n'
b'*       5              2           3         8           1.6153           0.0000         -\n'
b'        5              2           3         8           1.6153           0.0000         -\n'
b'       10             49          42         8           1.6153           0.0000         -\n'
b'Racing ramp-up finished after 13.5100 seconds. Selected strategy 7.\n'
b'       15           1468         391         8           1.6153           0.0000         -           0.0000         -\n'
b'       20           3382        1913         8           1.6153           0.0000         -           0.0000         -\n'
b'       25           7306        4457         8           1.6153           0.0000         -           0.0000         -\n'
b'       30          11928        6317         8           1.6153           0.0000         -           0.0000         -\n'
b'       36          17466        8034         8           1.6153           0.0000         -           0.0000         -\n'
b'       41          23297        9607         8           1.6153           0.0000         -           0.0000         -\n'
b'       46          29094       11182         8           1.6153           0.0000         -           0.0000         -\n'
b'       51          34640       12872         8           1.6153           0.0000         -           0.0000         -\n'
b'       56          40381       14533         8           1.6153           0.0000         -           0.0000         -\n'
b'       61          46830       16261         8           1.6153           0.0000         -           0.0000         -\n'
b'       66          53433       17652         8           1.6153           0.0000         -           0.0000         -\n'
b'       71          60894       19336         8           1.6153           0.0000         -           0.0000         -\n'
b'       76          67568       21134         8           1.6153           0.0000         -           0.0000         -\n'
b'       81          74276       22813         8           1.6153           0.0000         -           0.0000         -\n'
b'       86          81954       24575         8           1.6153           0.0000         -           0.0000         -\n'
b'       91          89042       26143         8           1.6153           0.0000         -           0.0000         -\n'
b'       96          96115       27687         8           1.6153           0.0000         -           0.0000         -\n'
b'      101         103051       29058         8           1.6153           0.0000         -           0.0000         -\n'
b'      106         111127       30566         8           1.6153           0.0000         -           0.0000         -\n'
b'      111         118851       32115         8           1.6153           0.0000         -           0.0000         -\n'
b'      117         127161       33809         8           1.6153           0.0000         -           0.0000         -\n'
b'      122         135444       35349         8           1.6153           0.0000         -           0.0000         -\n'
b'      127         144110       37090         8           1.6153           0.0000         -           0.0000         -\n'
b'      132         152027       38790         8           1.6153           0.0000         -           0.0000         -\n'
b'      137         160124       40311         8           1.6153           0.0000         -           0.0000         -\n'
b'      142         168517       42002         8           1.6153           0.0000         -           0.0000         -\n'
b'      147         176733       43428         8           1.6153           0.0000         -           0.0000         -\n'
b'      152         184781       44776         8           1.6153           0.0000         -           0.0000         -\n'
b'      157         193493       46172         8           1.6153           0.0000         -           0.0000         -\n'
b'      162         201712       47453         8           1.6153           0.0000         -           0.0000         -\n'
