000	1	1.8941	16.0
001	2	1.5052	41.0
002	3	1.8501	72.0
003	1	2.4835	20.0
004	2	2.0	5.0
005	3	2.7913	2.0
006	1	2.8933	15.0
007	2	1.7165	718.0
008	3	1.7701	629.0
009	1	2.903	20.0
010	2	1.8912	2720.0
011	3	1.53692856132514	10802.469696044922
012	1	2.8487	5.0
013	2	2.5415	3.0
014	3	2.082	1652.0
015	1	2.5941	2.0
016	2	2.212	16.0
017	3	1.4359	7.0
018	1	3.1243	4.0
019	2	2.599	372.0
020	3	1.6153	10.0
021	1	4.9407	3.0
022	2	1.9685	21.0
023	3	2.6275	302.0
024	1	3.3835	7.0
025	2	2.5377	2.0
026	3	1.5812	901.0
027	1	3.8621	4.0
028	2	1.7751	4.0
029	3	2.0409	2.0
